sex,age,race,priors_count,days_b_screening_arrest,c_charge_degree,label,jailtime
1,69,0,0,-1.0,1,1,0
1,34,0,0,-1.0,1,0,10
1,24,0,4,-1.0,1,0,1
1,44,0,0,0.0,0,1,1
1,41,1,14,-1.0,1,0,6
1,43,0,3,-1.0,1,1,0
0,39,1,0,-1.0,0,1,2
1,21,1,1,428.0,1,0,0
1,27,1,0,-1.0,1,1,1
1,23,0,3,0.0,0,0,4
0,37,1,0,0.0,0,1,0
1,41,0,0,-1.0,1,1,0
0,47,1,1,-20.0,1,0,14
1,31,0,7,22.0,1,0,3
1,37,0,0,0.0,0,1,0
1,25,0,3,-1.0,1,1,1
1,31,1,6,-1.0,1,0,1
1,31,1,5,-1.0,1,0,1
1,64,0,13,-1.0,1,0,1
1,21,0,1,-1.0,1,0,3
1,27,1,0,0.0,0,0,0
0,21,1,0,-2.0,1,1,1
1,24,0,1,0.0,1,0,0
1,43,1,1,-1.0,0,1,1
1,32,0,0,-1.0,0,1,1
1,27,0,8,-1.0,1,0,17
0,36,1,3,53.0,1,1,0
1,26,0,5,-1.0,1,0,0
1,33,0,0,0.0,1,0,37
1,30,1,9,0.0,1,0,44
1,32,0,4,-1.0,1,0,1
1,55,1,0,-1.0,1,1,2
1,49,0,7,-1.0,1,0,3
1,26,1,6,81.0,0,1,12
0,33,1,4,-1.0,0,0,11
1,24,1,1,0.0,0,0,1
1,34,0,21,0.0,1,0,33
1,29,1,0,0.0,0,1,-1
0,21,0,2,-1.0,1,1,79
1,51,0,2,-1.0,0,1,1
1,29,1,2,-1.0,0,0,0
0,51,0,7,-1.0,1,1,1
1,29,0,0,0.0,1,0,0
1,25,1,9,-1.0,0,0,6
1,35,0,13,-1.0,1,0,0
1,49,1,0,0.0,0,1,0
1,34,0,4,-59.0,0,0,51
1,29,0,0,0.0,1,1,0
1,29,1,1,-24.0,1,0,0
0,28,0,0,-1.0,1,1,0
1,48,1,20,302.0,1,0,10
0,63,0,1,-219.0,1,1,8
1,31,0,15,-1.0,1,1,135
1,24,0,2,-1.0,1,0,1
1,30,0,0,0.0,0,1,23
1,49,0,4,-1.0,0,1,0
1,53,1,8,-13.0,1,1,13
1,35,0,5,-1.0,1,1,0
1,63,0,10,-38.0,0,0,35
1,27,0,15,-1.0,1,0,1
1,38,1,4,-1.0,0,0,1
1,22,0,1,-1.0,1,0,1
1,22,0,2,70.0,1,0,124
1,29,0,4,-1.0,1,0,18
